method,,negative,neutral,positive,accuracy,macro avg,weighted avg
bpw_dict,precision,0.4661432777232581,0.36328058533265273,0.7289256198347107,0.40674576723103584,0.5194498276302072,0.5527271535529499
bpw_dict,recall,0.3027405991077119,0.8584640128669079,0.12801161103047895,0.40674576723103584,0.42973874100169956,0.40674576723103584
bpw_dict,f1-score,0.3670788253477588,0.510521281683405,0.21777777777777776,0.40674576723103584,0.36512596160298055,0.34606819743523615
bpw_dict,support,1569.0,2487.0,3445.0,0.40674576723103584,7501.0,7501.0
slk,precision,0.5309734513274337,0.35515680569026836,0.5538818076477404,0.38861485135315293,0.48000402155514754,0.48320159288506953
slk,recall,0.15296367112810708,0.883393646964214,0.13875181422351235,0.38861485135315293,0.3917030441052778,0.38861485135315293
slk,f1-score,0.23750618505690252,0.5066297705522887,0.22191272051996289,0.38861485135315293,0.32201622537638475,0.31957402558446796
slk,support,1569.0,2487.0,3445.0,0.38861485135315293,7501.0,7501.0
bawl_r,precision,0.3574468085106383,0.3502145922746781,0.4997497497497497,0.43100919877349686,0.40247038351168873,0.42040469556435195
bawl_r,recall,0.2676864244741874,0.3281061519903498,0.5796806966618288,0.43100919877349686,0.39182442437545534,0.43100919877349686
bawl_r,f1-score,0.30612244897959184,0.3388000830392361,0.5367558123908077,0.43100919877349686,0.39389278146987855,0.42288037630367853
bawl_r,support,1569.0,2487.0,3445.0,0.43100919877349686,7501.0,7501.0
sentiws_dict,precision,0.5309229305423406,0.38092956396741734,0.5768892794376098,0.46140514598053595,0.4962472579824559,0.502302822459734
sentiws_dict,recall,0.35564053537284895,0.6393244873341375,0.38113207547169814,0.46140514598053595,0.45869903272622814,0.46140514598053595
sentiws_dict,f1-score,0.4259541984732825,0.47740579492568685,0.4590106624715959,0.46140514598053595,0.4541235519568551,0.45819518485527416
sentiws_dict,support,1569.0,2487.0,3445.0,0.46140514598053595,7501.0,7501.0
german_polarity_clues,precision,0.3488659793814433,0.39562410329985653,0.5821678321678322,0.43740834555392616,0.4422193049497107,0.4715179373916024
german_polarity_clues,recall,0.5391969407265774,0.4435062324085243,0.38664731494920174,0.43740834555392616,0.45645016269476785,0.43740834555392616
german_polarity_clues,f1-score,0.42363545317976964,0.4181990521327014,0.4646781789638933,0.43740834555392616,0.43550422809212147,0.440682761661605
german_polarity_clues,support,1569.0,2487.0,3445.0,0.43740834555392616,7501.0,7501.0
zeroshot,precision,0.42535305985205113,0.4147465437788018,0.5985552115583075,0.5139314758032263,0.4795516050630535,0.5013833234374241
zerosoht,recall,0.8062460165710643,0.10856453558504221,0.6734397677793904,0.5139314758032263,0.5294167733118323,0.5139314758032263
zeroshot,f1-score,0.5569007263922517,0.17208413001912046,0.6337931976505942,0.5139314758032263,0.4542593513539888,0.4646271213135972
zeroshot,support,1569.0,2487.0,3445.0,0.5139314758032263,7501.0,7501.0
guhr_pipe,precision,0.3012946253432719,0.39965360467633687,0.8065476190476191,0.38446162046908317,0.5024986163557427,0.5660509025146367
guhr_pipe,recall,0.4894837476099426,0.742259750703659,0.07859628770301624,0.38446162046908317,0.436779928672206,0.38446162046908317
guhr_pipe,f1-score,0.37299660029140363,0.5195609344216156,0.14323467230443976,0.38446162046908317,0.3452640690058197,0.3159985154410286
guhr_pipe,support,1569.0,2487.0,3448.0,0.38446162046908317,7504.0,7504.0
