method,,negative,neutral,positive,accuracy,macro avg,weighted avg
bpw_dict,precision,0.18397827562797012,0.601842775926289,0.3321956769055745,0.4874547162216557,0.37267224281994454,0.4767920522635904
bpw_dict,recall,0.2408888888888889,0.6652221018418202,0.17046117921774664,0.4874547162216557,0.35885738998281863,0.4874547162216557
bpw_dict,f1-score,0.2086220169361047,0.6319473034170441,0.22530864197530867,0.4874547162216557,0.35529265410948585,0.4745861100263626
bpw_dict,support,1125.0,4615.0,1713.0,0.4874547162216557,7453.0,7453.0
slk,precision,0.2875605815831987,0.6362800955706671,0.27351040918880115,0.5395142895478331,0.399117028780889,0.5002631995545611
slk,recall,0.1582222222222222,0.7501625135427953,0.2224168126094571,0.5395142895478331,0.37693384945815817,0.5395142895478332
slk,f1-score,0.20412844036697245,0.68854415274463,0.24533161622665808,0.5395142895478331,0.37933473644608684,0.5135554567188484
slk,support,1125.0,4615.0,1713.0,0.5395142895478331,7453.0,7453.0
bawl_r,precision,0.17466561762391816,0.5904414205111185,0.2376143893972862,0.36951563128941367,0.3342404758441076,0.4465878739465009
bawl_r,recall,0.19733333333333333,0.38548212351029254,0.4395796847635727,0.36951563128941367,0.34079838053573286,0.36951563128941367
bawl_r,f1-score,0.18530884808013356,0.4664394336654431,0.308480131093814,0.36951563128941367,0.3200761376131302,0.3876984979229671
bawl_r,support,1125.0,4615.0,1713.0,0.36951563128941367,7453.0,7453.0
sentiws_dict,precision,0.23196881091617932,0.6375455018200729,0.29384703852788957,0.36549040654769893,0.3877871170880472,0.49732958274233363
sentiws_dict,recall,0.4231111111111111,0.2656554712892741,0.5966141272621133,0.36549040654769893,0.42846023655416615,0.36549040654769893
sentiws_dict,f1-score,0.2996537614101353,0.37503823799327013,0.39375842804854555,0.36549040654769893,0.3561501424839837,0.36796191294411673
sentiws_dict,support,1125.0,4615.0,1713.0,0.36549040654769893,7453.0,7453.0
german_polarity_clues,precision,0.2350276799194766,0.6308010641442506,0.3082093134901584,0.43512679457936404,0.3913460191846285,0.49691608814487714
german_polarity_clues,recall,0.4151111111111111,0.46240520043336947,0.37478108581436076,0.43512679457936404,0.41743246578628046,0.43512679457936404
german_polarity_clues,f1-score,0.3001285347043702,0.533633408352088,0.3382507903055848,0.43512679457936404,0.390670911120681,0.4534799926044236
german_polarity_clues,support,1125.0,4615.0,1713.0,0.43512679457936404,7453.0,7453.0
zeroshot,precision,0.3180439727065959,0.6867704280155642,0.3273657289002558,0.3488528109486113,0.44406004320747194,0.5485069754720096
zeroshot,recall,0.7457777777777778,0.07648970747562296,0.8219497956800934,0.3488528109486113,0.5480724269778313,0.3488528109486113
zeroshot,f1-score,0.4459208078660643,0.13764866445700916,0.46824077153308946,0.3488528109486113,0.35060341461872097,0.26016448905871487
zeroshot,support,1125.0,4615.0,1713.0,0.3488528109486113,7453.0,7453.0
guhr_pipe,precision,0.30939895118999594,0.7843714609286523,0.6907216494845361,0.6195826645264848,0.5948306872010615,0.6910708105468666
guhr_pipe,recall,0.6787610619469027,0.7481097429250378,0.23412929528246942,0.6195826645264848,0.55366670005147,0.6195826645264848
guhr_pipe,f1-score,0.4250484898863951,0.765811587793012,0.34971726837755546,0.6195826645264848,0.5135257820189875,0.6187414637867498
guhr_pipe,support,1130.0,4629.0,1717.0,0.6195826645264848,7476.0,7476.0
