method,,negative,neutral,positive,accuracy,macro avg,weighted avg
bpw_dict,precision,0.5932986712882726,0.20756699947451393,0.6581259150805271,0.4642,0.4863305286144379,0.5420832344424227
bpw_dict,recall,0.5135,0.395,0.4495,0.4642,0.4526666666666667,0.4642
bpw_dict,f1-score,0.5505226480836236,0.27213227695487424,0.5341651812240048,0.4642,0.45227336875416757,0.4883015871140262
bpw_dict,support,2000.0,1000.0,2000.0,0.4642,5000.0,5000.0
slk,precision,0.5906642728904847,0.20332355816226785,0.5722826086956522,0.4254,0.45542347991613497,0.5058434642669083
slk,recall,0.329,0.416,0.5265,0.4254,0.42383333333333334,0.4254
slk,f1-score,0.4226075786769429,0.273145108338805,0.5484375,0.4254,0.4147300623385826,0.4430470531385381
slk,support,2000.0,1000.0,2000.0,0.4254,5000.0,5000.0
bawl_r,precision,0.5604770017035775,0.23433583959899748,0.43374827109266945,0.4168,0.4095203707984148,0.4445572770382982
bawl_r,recall,0.1645,0.187,0.784,0.4168,0.3785,0.4168
bawl_r,f1-score,0.2543486664089679,0.20800889877641826,0.5585040071237756,0.4168,0.34028719076972064,0.36674284916838107
bawl_r,support,2000.0,1000.0,2000.0,0.4168,5000.0,5000.0
sentiws_dict,precision,0.6298283261802575,0.24054982817869416,0.584182776801406,0.5812,0.4848536437201192,0.5337144068284042
sentiws_dict,recall,0.587,0.07,0.831,0.5812,0.496,0.5812
sentiws_dict,f1-score,0.6076604554865425,0.10844306738962046,0.6860681114551083,0.5812,0.46739054477709036,0.5391800402545843
sentiws_dict,support,2000.0,1000.0,2000.0,0.5812,5000.0,5000.0
german_polarity_clues,precision,0.6724864539434076,0.2718579234972678,0.6121979286536249,0.5824,0.5188474353647667,0.5682453377382666
german_polarity_clues,recall,0.5585,0.199,0.798,0.5824,0.5185000000000001,0.5824
german_polarity_clues,f1-score,0.6102157880360557,0.22979214780600463,0.6928586932928154,0.5824,0.5109555430449585,0.5671882220927493
german_polarity_clues,support,2000.0,1000.0,2000.0,0.5824,5000.0,5000.0
zeroshot,precision,0.744917715392062,0.3588235294117647,0.756433007985803,0.6976,0.6200580842632099,0.6723049952334988
zeroshot,recall,0.7695,0.244,0.8525,0.6976,0.622,0.6976
zeroshot,f1-score,0.7570093457943925,0.29047619047619044,0.8015984955336154,0.6976,0.6163613439347327,0.6815383746264413
zeroshot,support,2000.0,1000.0,2000.0,0.6976,5000.0,5000.0
guhr_pipe,precision,0.6620716817644742,0.21241050119331742,0.7727717923604309,0.6696,0.5490846584394075,0.6164194898886255
guhr_pipe,recall,0.8405,0.089,0.789,0.6696,0.5728333333333334,0.6696
guhr_pipe,f1-score,0.7406917823309098,0.12544045102184637,0.7808015833745671,0.6696,0.5489779389091077,0.6336854364865601
guhr_pipe,support,2000.0,1000.0,2000.0,0.6696,5000.0,5000.0
