method,,negative,neutral,positive,accuracy,macro avg,weighted avg
bpw_dict,precision,0.5426008968609866,0.2817955112219451,0.6756756756756757,0.4326424870466321,0.5000240279195358,0.5298366665388132
bpw_dict,recall,0.4653846153846154,0.5707070707070707,0.3184713375796178,0.4326424870466321,0.4515210078904346,0.4326424870466321
bpw_dict,f1-score,0.5010351966873705,0.3772954924874791,0.4329004329004329,0.4326424870466321,0.43707704069176084,0.44158600334452475
bpw_dict,support,260.0,198.0,314.0,0.4326424870466321,772.0,772.0
slk,precision,0.5426356589147286,0.2781316348195329,0.5,0.37176165803108807,0.4402557645780872,0.4574550971659287
slk,recall,0.2692307692307692,0.6616161616161617,0.27388535031847133,0.37176165803108807,0.40157742705513405,0.37176165803108807
slk,f1-score,0.35989717223650386,0.39162929745889385,0.35390946502057613,0.37176165803108807,0.3684786449053246,0.36560030789483533
slk,support,260.0,198.0,314.0,0.37176165803108807,772.0,772.0
bawl_r,precision,0.45930232558139533,0.2097560975609756,0.4177215189873418,0.37176165803108807,0.3622599807099043,0.3783871359200276
bawl_r,recall,0.3038461538461538,0.21717171717171718,0.5254777070063694,0.37176165803108807,0.3488318593414135,0.37176165803108807
bawl_r,f1-score,0.3657407407407407,0.21339950372208435,0.46544428772919605,0.37176165803108807,0.348194844064007,0.36722176253436895
bawl_r,support,260.0,198.0,314.0,0.37176165803108807,772.0,772.0
sentiws_dict,precision,0.5581395348837209,0.264,0.5758354755784062,0.5194300518134715,0.46599167015404236,0.48989717409506095
sentiws_dict,recall,0.5538461538461539,0.16666666666666666,0.7133757961783439,0.5194300518134715,0.47796287223038814,0.5194300518134715
sentiws_dict,f1-score,0.555984555984556,0.2043343653250774,0.6372688477951636,0.5194300518134715,0.46586258970159894,0.49885570867620627
sentiws_dict,support,260.0,198.0,314.0,0.5194300518134715,772.0,772.0
german_polarity_clues,precision,0.5564516129032258,0.281437125748503,0.5882352941176471,0.5116580310880829,0.47537467758979196,0.49884436866060033
german_polarity_clues,recall,0.5307692307692308,0.23737373737373738,0.6687898089171974,0.5116580310880829,0.47897759235338855,0.5116580310880829
german_polarity_clues,f1-score,0.5433070866141732,0.2575342465753425,0.6259314456035767,0.5116580310880829,0.4755909262643641,0.5036192969703703
german_polarity_clues,support,260.0,198.0,314.0,0.5116580310880829,772.0,772.0
zeroshot,precision,0.698744769874477,0.46956521739130436,0.8217821782178217,0.6787564766839378,0.663364055161201,0.6900092709472
zeroshot,recall,0.6423076923076924,0.5454545454545454,0.7929936305732485,0.6787564766839378,0.6602519561118286,0.6787564766839378
zeroshot,f1-score,0.6693386773547094,0.5046728971962616,0.8071312803889789,0.6787564766839378,0.6603809516466499,0.6831509220197197
zeroshot,support,260.0,198.0,314.0,0.6787564766839378,772.0,772.0
guhr_pipe,precision,0.7,0.2605820105820106,1.0,0.27202072538860106,0.6535273368606701,0.7093202566000493
guhr_pipe,recall,0.026923076923076925,0.9949494949494949,0.01910828025477707,0.27202072538860106,0.346993617375783,0.27202072538860106
guhr_pipe,f1-score,0.05185185185185185,0.4129979035639413,0.0375,0.27202072538860106,0.16744991847193105,0.13863998236676406
guhr_pipe,support,260.0,198.0,314.0,0.27202072538860106,772.0,772.0
