method,,negative,neutral,positive,accuracy,macro avg,weighted avg
bpw_dict,precision,0.48676639815880324,0.7347696879643388,0.09401709401709402,0.5631332813717849,0.438517726713412,0.6331634570941992
bpw_dict,recall,0.5423076923076923,0.5883402736466389,0.3142857142857143,0.5631332813717849,0.48164456008001516,0.5631332813717849
bpw_dict,f1-score,0.5130382049727107,0.6534522629666337,0.14473684210526316,0.5631332813717849,0.43707577001486914,0.5899533991997967
bpw_dict,support,780.0,1681.0,105.0,0.5631332813717849,2566.0,2566.0
slk,precision,0.45977011494252873,0.6648318042813456,0.056716417910447764,0.485190958690569,0.39377277904477404,0.5776142542995757
slk,recall,0.15384615384615385,0.6466389054134444,0.3619047619047619,0.485190958690569,0.3874632737214534,0.485190958690569
slk,f1-score,0.23054755043227668,0.6556091676718938,0.09806451612903226,0.485190958690569,0.32807374474440093,0.5035864670254004
slk,support,780.0,1681.0,105.0,0.485190958690569,2566.0,2566.0
bawl_r,precision,0.41904761904761906,0.631404958677686,0.04218040233614536,0.24279033515198753,0.36421099335381685,0.5427427204363322
bawl_r,recall,0.22564102564102564,0.22724568709101725,0.6190476190476191,0.24279033515198753,0.35731144392655395,0.24279033515198753
bawl_r,f1-score,0.29333333333333333,0.33420822397200356,0.0789793438639125,0.24279033515198753,0.23550696705641647,0.3113393825419519
bawl_r,support,780.0,1681.0,105.0,0.24279033515198753,2566.0,2566.0
sentiws_dict,precision,0.4782608695652174,0.7441176470588236,0.06994328922495274,0.3803585346843336,0.43077393528299784,0.6357167920246968
sentiws_dict,recall,0.5076923076923077,0.3010113027959548,0.7047619047619048,0.3803585346843336,0.504488505083389,0.3803585346843336
sentiws_dict,f1-score,0.4925373134328358,0.4286319356204997,0.12725709372312985,0.3803585346843336,0.3494754475921551,0.435725402609743
sentiws_dict,support,780.0,1681.0,105.0,0.3803585346843336,2566.0,2566.0
german_polarity_clues,precision,0.4352701325178389,0.7129032258064516,0.07461139896373056,0.3667186282151208,0.40759491909600704,0.6023909675899265
german_polarity_clues,recall,0.5474358974358975,0.2629387269482451,0.6857142857142857,0.3667186282151208,0.49869630336614273,0.3667186282151208
german_polarity_clues,f1-score,0.4849517319704713,0.384180790960452,0.13457943925233642,0.3667186282151208,0.3345706540610866,0.40459902636905015
german_polarity_clues,support,780.0,1681.0,105.0,0.3667186282151208,2566.0,2566.0
zeroshot,precision,0.5033613445378151,0.7699530516431925,0.0765262252794497,0.33203429462197975,0.4499468738201524,0.6605409907272192
zeroshot,recall,0.767948717948718,0.0975609756097561,0.8476190476190476,0.33203429462197975,0.5710429137258406,0.33203429462197975
zeroshot,f1-score,0.6081218274111676,0.17317845828933476,0.14037854889589904,0.33203429462197975,0.3072262781988005,0.30404823125454083
zeroshot,support,780.0,1681.0,105.0,0.33203429462197975,2566.0,2566.0
guhr_pipe,precision,0.43743937924345294,0.7363505747126436,0.13986013986013987,0.583008573655495,0.4378833646054121,0.6210808053730171
guhr_pipe,recall,0.5782051282051283,0.6097560975609756,0.19047619047619047,0.583008573655495,0.45947913874743146,0.583008573655495
guhr_pipe,f1-score,0.4980673660960796,0.6671005532053368,0.16129032258064516,0.583008573655495,0.44215274729402054,0.5950210675619957
guhr_pipe,support,780.0,1681.0,105.0,0.583008573655495,2566.0,2566.0
