method,,negative,neutral,positive,accuracy,macro avg,weighted avg
bpw_dict,precision,0.5,0.4930555555555556,0.375,0.4740740740740741,0.45601851851851855,0.47042181069958844
bpw_dict,recall,0.43820224719101125,0.5725806451612904,0.3157894736842105,0.4740740740740741,0.44219078867883743,0.4740740740740741
bpw_dict,f1-score,0.46706586826347307,0.5298507462686568,0.34285714285714286,0.4740740740740741,0.4465912524630909,0.46967856279859144
bpw_dict,support,89.0,124.0,57.0,0.4740740740740741,270.0,270.0
slk,precision,0.6101694915254238,0.5267175572519084,0.3625,0.4962962962962963,0.4997956829257774,0.5195576364629605
slk,recall,0.4044943820224719,0.5564516129032258,0.5087719298245614,0.4962962962962963,0.4899059749167531,0.4962962962962963
slk,f1-score,0.48648648648648646,0.5411764705882351,0.42335766423357657,0.4962962962962963,0.4836735404360994,0.49827617226500864
slk,support,89.0,124.0,57.0,0.4962962962962963,270.0,270.0
bawl_r,precision,0.4533333333333333,0.6923076923076923,0.2485207100591716,0.34814814814814815,0.4647205785667324,0.519846299948864
bawl_r,recall,0.38202247191011235,0.14516129032258066,0.7368421052631579,0.34814814814814815,0.4213419558319503,0.34814814814814815
bawl_r,f1-score,0.41463414634146345,0.24000000000000002,0.3716814159292035,0.34814814814814815,0.34210518742355567,0.3253639990087217
bawl_r,support,89.0,124.0,57.0,0.34814814814814815,270.0,270.0
sentiws_dict,precision,0.4666666666666667,0.6086956521739131,0.3269230769230769,0.43703703703703706,0.46742846525455223,0.5023933688426442
sentiws_dict,recall,0.6292134831460674,0.22580645161290322,0.5964912280701754,0.43703703703703706,0.4838370542763821,0.43703703703703706
sentiws_dict,f1-score,0.535885167464115,0.3294117647058823,0.42236024844720493,0.43703703703703706,0.429219060205734,0.41709397366417156
sentiws_dict,support,89.0,124.0,57.0,0.43703703703703706,270.0,270.0
german_polarity_clues,precision,0.4715447154471545,0.5535714285714286,0.37362637362637363,0.45555555555555555,0.4662475058816522,0.48854459301613773
german_polarity_clues,recall,0.651685393258427,0.25,0.5964912280701754,0.45555555555555555,0.4993922071095341,0.45555555555555555
german_polarity_clues,f1-score,0.5471698113207548,0.34444444444444444,0.45945945945945943,0.45555555555555555,0.4503579050748862,0.4355496796586944
german_polarity_clues,support,89.0,124.0,57.0,0.45555555555555555,270.0,270.0
zeroshot,precision,0.47586206896551725,0.7,0.4095238095238095,0.4666666666666667,0.5284619594964423,0.5647947454844007
zeroshot,recall,0.7752808988764045,0.11290322580645161,0.7543859649122807,0.4666666666666667,0.5475233631983789,0.4666666666666667
zeroshot,f1-score,0.5897435897435898,0.19444444444444445,0.5308641975308641,0.4666666666666667,0.43835074390629947,0.39576870317611057
zeroshot,support,89.0,124.0,57.0,0.4666666666666667,270.0,270.0
guhr_pipe,precision,0.3409090909090909,0.47417840375586856,0.38461538461538464,0.44814814814814813,0.3999009597601147,0.4113411410359767
guhr_pipe,recall,0.16853932584269662,0.8145161290322581,0.08771929824561403,0.44814814814814813,0.35692491770685625,0.44814814814814813
guhr_pipe,f1-score,0.22556390977443605,0.599406528189911,0.14285714285714285,0.44814814814814813,0.32260919360716334,0.37979427632715157
guhr_pipe,support,89.0,124.0,57.0,0.44814814814814813,270.0,270.0
