method,,negative,positive,micro avg,macro avg,weighted avg,accuracy
bpw_dict,precision,0.604239525474868,0.8655782956741196,0.7403464238331711,0.7349089105744938,0.795509256673636,
bpw_dict,recall,0.3579178788848101,0.2041389136374712,0.24536947542956403,0.2810283962611406,0.24536947542956403,
bpw_dict,f1-score,0.44954833443340125,0.3303643456587962,0.36858168522587503,0.3899563400460987,0.36231944956976153,
bpw_dict,support,196953.0,537629.0,734582.0,734582.0,734582.0,
slk,precision,0.5801208309194736,0.7563460542220687,0.7058834681795991,0.6682334425707712,0.709097297234944,
slk,recall,0.17795108477657107,0.21181893089844483,0.20273842811285875,0.19488500783750795,0.20273842811285875,
slk,f1-score,0.27235709179074324,0.33095270962445233,0.3150038654219761,0.3016549007075978,0.3152423019106743,
slk,support,196953.0,537629.0,734582.0,734582.0,734582.0,
bawl_r,precision,0.5357956931197888,0.7406458273239308,0.7061528322420833,0.6382207602218598,0.6857222810324229,
bawl_r,recall,0.18140876249663626,0.4537106443290819,0.3807022224884356,0.3175597034128591,0.3807022224884356,
bawl_r,f1-score,0.27104693195568147,0.5627112231739361,0.49470065300974425,0.4168790775648088,0.48451143452092127,
bawl_r,support,196953.0,537629.0,734582.0,734582.0,734582.0,
sentiws_dict,precision,0.6510248522346272,0.8671896401444403,0.8138617913909544,0.7591072461895338,0.8092324570482013,
sentiws_dict,recall,0.47815468665113,0.7124652874007913,0.6496429261811479,0.5953099870259606,0.6496429261811479,
sentiws_dict,f1-score,0.5513571110746821,0.7822499780463049,0.7225389154103663,0.6668035445604935,0.7203439650638713,
sentiws_dict,support,196953.0,537629.0,734582.0,734582.0,734582.0,
german_polarity_clues,precision,0.6600204274730714,0.897551627870782,0.8311408003840217,0.7787860276719267,0.833865773178004,
german_polarity_clues,recall,0.5348077967840043,0.686503146221651,0.6458312346341184,0.6106554715028276,0.6458312346341184,
german_polarity_clues,f1-score,0.590853251510341,0.7779680684118836,0.7268610055439668,0.6844106599611123,0.7277996399270996,
german_polarity_clues,support,196953.0,537629.0,734582.0,734582.0,734582.0,
zeroshot,precision,0.7411062004014617,0.940298448920677,,0.8407023246610694,0.8868918708632171,0.8793735757206139
zeroshot,recall,0.8454352053535615,0.8918064315727017,,0.8686208184631317,0.8793735757206139,0.8793735757206139
zeroshot,f1-score,0.7898404295689131,0.9154106986707805,,0.8526255641198468,0.8817433324537755,0.8793735757206139
zeroshot,support,196953.0,537629.0,,734582.0,734582.0,0.8793735757206139
guhr_pipe,precision,0.5870332988851007,0.9729227560477652,0.8062421691287412,0.779978027466433,0.8694597168546482,
guhr_pipe,recall,0.9257995562393059,0.739240256756983,0.7892597422751987,0.8325199064981444,0.7892597422751987,
guhr_pipe,f1-score,0.7184867327075996,0.8401345696719363,0.797660575734458,0.7793106511897679,0.8075188692686635,
guhr_pipe,support,196953.0,537629.0,734582.0,734582.0,734582.0,
